,color,linewidth,linestyle,,,,,,
Par-Par,red,2,-,1.712398673,1.224958154,0.178317194,,,
Pav-Pav,blue,2,-,1.90298203,1.224468329,0.175639974,,,
Pca-Pca,orange,2,-,2.671953267,1.22637166,0.131743953,,,
Pce-Pce,green,2,-,1.916626013,1.226107108,0.200796126,,,
Pdu-Pdu,yellow,2,-,2.32997917,1.224207763,0.167935642,,,
Pfr-Pfr,#483D8B,2,-,1.255348713,1.224904253,0.224032702,,,
Phu-Phu,#5F9EA0,2,-,2.126979413,1.225775024,0.160099794,,,
Pmu-Pmu,#00FFFF,2,-,1.76230562,1.22512246,0.188239419,,,
Ppe-Ppe,#3CB371,2,-,2.367385668,1.226019191,0.165305586,,,
Ppu-Ppu,#808000,2,-,2.124440086,1.225718928,0.177280339,,,
Pse-Pse,#DAA520,2,-,2.131103041,1.226384195,0.160808495,,,
Pto-Pto,#FA8072,2,-,2.136172537,1.224467902,0.181915507,,,
Rch-Rch,#87CEEB,2,-,1.857640771,1.224392327,0.185485368,,,
Vvi-Vvi,#DDA0DD,2,-,2.700408143,1.225320381,0.218214773,,,
Pto-Pav,#F89588,2,--,13.0428839,0.046078171,0.022187575,2.26184252,1.213238798,0.16739229
Pto-Ppe,#63B2EE,2,--,18.04469806,0.035812106,0.015553601,2.322847601,1.220161051,0.171416856
Pto-Phu,#7CD6CF,2,--,10.678057,0.031881628,0.025410227,1.977823887,1.218854628,0.201467056
Pto-Rch,pink,2,--,5.10183103,0.401116959,0.065670555,1.966078493,1.262391967,0.19849448
